name,district,place_image,address
커먼그라운드,서울 광진구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=07f407a3-4f4c-4643-a093-3d5c468c4bcf,서울특별시 광진구 아차산로 200 
경동시장,서울 동대문구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37e6e02c-2469-4f99-bb0e-efe86da41c7e,서울특별시 동대문구 고산자로36깋 3(제기동)
롯데월드타워 서울스카이,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=926e11e5-fc0e-4870-8ff8-61d5df121092,서울특별시 송파구 올림픽로 300 
동대문 종합시장·동대문 쇼핑타운,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1f25dc8a-9035-4c43-b742-328d95369022,서울특별시 종로구 종로 266 
북촌한옥마을,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=971633ea-5131-4d03-822b-5e5ef1a06abd,서울특별시 종로구 계동길 37 (계동) 
창경궁,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0aeee7bd-88bc-406a-9b07-c42001dd6924,서울특별시 종로구 창경궁로 185 
덕수궁,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=47336f6a-9f6a-47ec-b109-8e496b3b6323,서울특별시 중구 세종대로 99 
신사동 가로수길,서울 강남구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a302ec7-8a96-4414-bde5-9c930da19f71,서울특별시 강남구 신사동 일대 
서울 암사동 유적,서울 강동구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3a8e88f3-1da2-41b8-85f3-b34946e9bf08,서울특별시 강동구 올림픽로 875 (암사동) 
북서울꿈의숲,서울 강북구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9ae4337f-6261-4f8b-922a-764fa4280f80,서울특별시 강북구 월계로 173 
